fold_index,train_rows,test_rows,log_loss,accuracy,test_start_date,test_end_date
25,2000,300,1.1116806861444009,0.43666666666666665,2022-10-22,2022-10-29
26,2000,300,1.0938451884794413,0.44666666666666666,2022-10-29,2022-11-08
27,2000,300,1.0781986907725665,0.48,2022-11-08,2022-11-28
28,2000,300,1.1378068679989002,0.39,2022-11-30,2022-12-26
29,2000,300,1.0556581543374197,0.47,2022-12-26,2023-01-08
30,2000,300,1.0128320800652744,0.48333333333333334,2023-01-08,2023-01-22
31,2000,300,1.1109007173461627,0.47333333333333333,2023-01-22,2023-02-03
32,2000,300,1.089827695183435,0.4633333333333333,2023-02-03,2023-02-12
33,2000,300,1.1085660061988987,0.47333333333333333,2023-02-12,2023-02-21
34,2000,300,1.0933664328964439,0.4766666666666667,2023-02-21,2023-03-04
35,2000,300,1.1023133308471473,0.43666666666666665,2023-03-04,2023-03-12
36,2000,300,1.1189804693220613,0.41333333333333333,2023-03-12,2023-03-31
37,2000,300,1.104403225088004,0.47,2023-04-01,2023-04-08
38,2000,300,1.090482674676408,0.45666666666666667,2023-04-08,2023-04-17
39,2000,300,1.1589727114571589,0.4533333333333333,2023-04-17,2023-04-29
40,2000,300,1.0165806799545944,0.5366666666666666,2023-04-29,2023-05-08
41,2000,300,1.0726491618565535,0.47,2023-05-08,2023-05-26
42,2000,300,1.1403549436254832,0.4633333333333333,2023-05-26,2023-08-12
43,2000,300,1.135366570926534,0.4166666666666667,2023-08-12,2023-08-26
44,2000,300,1.1149977866959129,0.45666666666666667,2023-08-26,2023-09-03
45,2000,300,1.0892408982745072,0.4266666666666667,2023-09-03,2023-09-22
46,2000,300,1.0846139690147625,0.48333333333333334,2023-09-22,2023-09-30
47,2000,300,1.0905854758911862,0.45,2023-09-30,2023-10-07
48,2000,300,1.0858595567412601,0.43,2023-10-07,2023-10-24
49,2000,300,1.0395156200690039,0.5166666666666667,2023-10-24,2023-11-04
50,2000,300,1.0870016199771373,0.4533333333333333,2023-11-04,2023-11-18
51,2000,300,1.1226947765149566,0.44333333333333336,2023-11-18,2023-12-02
52,2000,300,1.128700333625714,0.44666666666666666,2023-12-02,2023-12-15
