fold_index,train_rows,test_rows,log_loss,accuracy,test_start_date,test_end_date
49,1000,300,1.0599388987790366,0.47,2023-09-16,2023-09-26
50,1000,300,1.035550438284333,0.49333333333333335,2023-09-26,2023-10-06
51,1000,300,1.0003750595933687,0.48,2023-10-06,2023-10-21
52,1000,300,1.0283677007252516,0.4666666666666667,2023-10-21,2023-10-29
53,1000,300,1.0590696501314063,0.4666666666666667,2023-10-29,2023-11-11
54,1000,300,1.0631462380354324,0.45666666666666667,2023-11-11,2023-11-27
55,1000,300,1.0158473340028555,0.5166666666666667,2023-11-27,2023-12-09
56,1000,300,1.0815867780547832,0.42,2023-12-09,2023-12-19
57,1000,300,1.042151428758882,0.4766666666666667,2023-12-20,2023-12-30
58,1000,300,1.0374337071784574,0.48333333333333334,2023-12-30,2024-01-18
59,1000,300,1.103974313162557,0.41,2024-01-18,2024-01-28
60,1000,300,1.0660097265955784,0.44333333333333336,2024-01-28,2024-02-10
61,1000,300,1.0706647732236354,0.4633333333333333,2024-02-10,2024-02-17
62,1000,300,1.1086247795513584,0.4033333333333333,2024-02-17,2024-02-27
63,1000,300,1.0573270941183397,0.4533333333333333,2024-02-27,2024-03-09
64,1000,300,1.0301123336889584,0.49,2024-03-09,2024-03-17
65,1000,300,1.059568979378394,0.43666666666666665,2024-03-17,2024-04-01
66,1000,300,1.0575167010711948,0.4666666666666667,2024-04-01,2024-04-13
67,1000,300,1.0667770545887607,0.48,2024-04-13,2024-04-21
68,1000,300,1.0571049194868534,0.4533333333333333,2024-04-21,2024-05-04
69,1000,300,1.014700233867126,0.5033333333333333,2024-05-04,2024-05-18
70,1000,300,1.0577161208157146,0.4533333333333333,2024-05-18,2024-08-17
71,1000,300,1.0579358177804277,0.48,2024-08-17,2024-08-27
72,1000,300,1.0496001194887516,0.45,2024-08-27,2024-09-14
73,1000,300,1.08506402962079,0.4166666666666667,2024-09-14,2024-09-22
