fold_index,train_rows,test_rows,log_loss,accuracy,test_start_date,test_end_date
0,2000,300,1.0550513220534634,0.45,2021-10-24,2021-11-05
1,2000,300,1.050574141405203,0.4666666666666667,2021-11-05,2021-11-20
2,2000,300,1.0674129470343985,0.43666666666666665,2021-11-20,2021-11-30
3,2000,300,1.0411223708482378,0.4666666666666667,2021-11-30,2021-12-11
4,2000,300,1.0302443997118893,0.48333333333333334,2021-12-11,2021-12-22
5,2000,300,1.0697880859922262,0.45,2021-12-22,2022-01-11
6,2000,300,1.0401621722912124,0.47,2022-01-11,2022-01-22
7,2000,300,1.0612019408233166,0.43333333333333335,2022-01-22,2022-02-05
8,2000,300,1.0529258590142283,0.47,2022-02-05,2022-02-13
9,2000,300,1.0628152778151927,0.42,2022-02-13,2022-02-23
10,2000,300,1.0553548678023232,0.48,2022-02-23,2022-03-05
11,2000,300,1.0050743805996112,0.5366666666666666,2022-03-05,2022-03-13
12,2000,300,1.042497095212629,0.48,2022-03-13,2022-03-26
13,2000,300,1.0200161596595012,0.47,2022-03-26,2022-04-09
14,2000,300,1.0594588714979007,0.45666666666666667,2022-04-09,2022-04-18
15,2000,300,1.0512121137561905,0.4633333333333333,2022-04-18,2022-04-29
16,2000,300,1.0777586681501945,0.41,2022-04-29,2022-05-08
17,2000,300,1.0273425584333196,0.5133333333333333,2022-05-08,2022-07-17
18,2000,300,1.046736778281754,0.4766666666666667,2022-07-17,2022-08-14
19,2000,300,1.0619838472073748,0.44666666666666666,2022-08-14,2022-08-27
20,2000,300,1.0479889001906477,0.46,2022-08-27,2022-09-03
21,2000,300,1.0398978377459498,0.47,2022-09-03,2022-09-16
22,2000,300,1.0468604477586991,0.4633333333333333,2022-09-16,2022-10-01
23,2000,300,1.0622372279486618,0.44666666666666666,2022-10-01,2022-10-09
24,2000,300,1.0516902351654474,0.46,2022-10-09,2022-10-22
25,2000,300,1.054591642969822,0.4666666666666667,2022-10-22,2022-10-29
26,2000,300,1.0496677901682503,0.46,2022-10-29,2022-11-08
27,2000,300,1.0471804402344735,0.4766666666666667,2022-11-08,2022-11-28
28,2000,300,1.0848404216350345,0.38,2022-11-30,2022-12-26
29,2000,300,1.0474663648012965,0.48,2022-12-26,2023-01-08
30,2000,300,1.0213842633173287,0.5033333333333333,2023-01-08,2023-01-22
31,2000,300,1.0612663589107958,0.45666666666666667,2023-01-22,2023-02-03
